query_id;confidence;confidence_flag;source;registry_id__got;registry_id__expected;registry_id__verdict;registry_court__got;registry_court__expected;registry_court__verdict;name_normalized_register_name__got;name_normalized_register_name__expected;name_normalized_register_name__verdict;jurisdiction_confirmed__got;jurisdiction_confirmed__expected;jurisdiction_confirmed__verdict;no_match_reason__got;no_match_reason__expected;no_match_reason__verdict;registered_address__got;registered_address__expected;registered_address__verdict;incorporation_date__got;incorporation_date__expected;incorporation_date__verdict;organization_type__got;organization_type__expected;organization_type__verdict;status__got;status__expected;status__verdict
p019;0.0;not_found;;;HRB 201096;MISSING;;Aurich;MISSING;;Partner 1011201;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Wieseder Str. 56, 26446, Friedeburg, DE;MISSING;;2009-03-09;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p020;0.0;not_found;;;HRB 33562;MISSING;;Chemnitz;MISSING;;Pfotenliebe GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;: null, ;Einsiedler Hauptstraße 15, 09123, Chemnitz, DE;MISMATCH;;2021-02-02;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p021;0.0;not_found;;;HRA 16587;MISSING;;Bielefeld;MISSING;;WIBA 24 GmbH & Co. KG;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Querstraße 7, 33729, Bielefeld, DE;MISSING;;2017-08-30;MISSING;;GmbH & Co. KG;MISSING;;active;MISSING
p022;0.0;not_found;;;HRB 123711;MISSING;;Köln;MISSING;;YH Handelsmarkt UG (haftungsbeschränkt);MISSING;;DE;MISSING;not_in_registry;;MATCH;;Robert-Perthel-Straße 71-73, 50739, Köln, DE;MISSING;;2025-05-06;MISSING;;Unternehmergesellschaft (haftungsbeschränkt);MISSING;;active;MISSING
p023;0.0;not_found;;;HRB 298947;MISSING;;München;MISSING;;luzemar GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Adams-Lehmann-Straße 107, 80797, München, DE;MISSING;;2024-12-10;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p024;0.0;not_found;;;HRB 10033;MISSING;;Paderborn;MISSING;;posylka.de GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;:null,;Overhagener Weg 36, 59597, Erwitte, NRW, DE;MISMATCH;;2010-12-13;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p025;0.15;ambiguous;;;M689607, 38788, folio 140;MISSING;;Mercantile Register Madrid;MISSING;;Döhler Fraga, S.L.U.;MISSING;;ES;MISSING;ambiguous_candidates;;MATCH;;Las Rozas, C/Jose Echegaray 8, Edificio 3 Planta 2a, Oficina 11, 28230, Las Rozas, ES;MISSING;;2003-04-25;MISSING;;S.L.U.;MISSING;;active;MISSING
p026;0.92;verified;https://annuaire-entreprises.data.gouv.fr/entreprise/983660952;983660952;983660952;MATCH;;Paris;MISSING;HYDI CORP;HYDI CORP;MATCH;FR;FR;MATCH;;;OK_EMPTY;66 AVENUE EMILE ZOLA, 75015 PARIS, FR;Paris, FR;MATCH;2024-02-01;;MATCH;V9QP;CORP;MISMATCH;active;;MATCH
p027;0.82;verified;https://annuaire-entreprises.data.gouv.fr/entreprise/949943211;949943211;394 480 859;MISMATCH;;Greffe du Tribunal de Commerce de Rouen;MISSING;VEONEER FRANCE SAFETY SYSTEMS SAS;Veoneer France SAS;MISMATCH;FR;FR;MATCH;;;OK_EMPTY;BP 506 BD LENINE 76800 SAINT-ETIENNE-DU-ROUVRAY;boulevard Lénine BP 506, 76800, Saint-Etienne-du-Rouvray, FR;MATCH;2023-03-14;1994-03-23;MISMATCH;SAS, société par actions simplifiée;SAS;MATCH;active;active;MATCH
p028;0.6;probable;https://search.gleif.org/#/record/2549002PS6Y7OJ9H0W61;09130764;10527616;MISMATCH;;;OK_EMPTY;ATLANTAS SHIP MANAGEMENT LIMITED;ATLANTAS SHIP GROUP LIMITED;MISMATCH;GB;GB;MATCH;;;OK_EMPTY;Portland House 69-71, Wembley Hill Road, Wembley, Middlesex, HA9 8BU, London, GB;Wembley, GB;MATCH;;;OK_EMPTY;Limited;Private Company Limited by Shares;MATCH;active;;MATCH
p029;0.83;probable;https://search.gleif.org/#/record/2138004ODFZ7HQCLYE23;SC186794;SC186794;MATCH;;Companies House;MISSING;JDR CABLE SYSTEMS LIMITED;JDR Cable Systems Ltd;MISMATCH;GB;GB;MATCH;;;OK_EMPTY;MAZARS CAPITAL SQUARE, 58 MORRISON STREET, EH3 8BP, EDINBURGH, GB;Apex 2, 97 Haymarket Terrace, EH12 5HD, Edinburgh, GB;MISMATCH;1998-06-15;1998-08-27;MATCH;Limited;Limited;MATCH;active;active;MATCH
p030;0.85;probable;https://search.gleif.org/#/record/213800NU5U8P1PFC6Y62;10607900;10607900;MATCH;;Companies House;MISSING;RICCOFFEE (UK) LIMITED;RicCoffee (UK) Limited;MATCH;GB;GB;MATCH;;;OK_EMPTY;27 CLEMENT'S LANE, EC4N 7AE, LONDON, GB-LND, GB;76 Cannon Street 2nd Floor, EC4N 6AE, London, GB;MISMATCH;2017-02-08;2017-02-07;MATCH;LIMITED;Ltd;MATCH;active;active;MATCH
p031;0.85;probable;https://search.gleif.org/#/record/254900YW4405X6EVAN05;05674101;5674101;MATCH;;;OK_EMPTY;UNION MARITIME LIMITED;Union Maritime Limited;MATCH;GB;GB;MATCH;;;OK_EMPTY;Portland House, 69-71 Wembley Hill Road, Wembley, Middlesex, HA9 8BU, London, GB;Wembley, GB;MATCH;2006-01-12;;MATCH;Limited;Private Company Limited by Shares;MATCH;active;;MATCH
p032;0.85;probable;https://search.gleif.org/#/record/2138006HJP4NJRXJVH39;64562;64562;MATCH;;;OK_EMPTY;LS ASSETS LIMITED;LS Assets Limited;MATCH;GG;GG;MATCH;;;OK_EMPTY;1 ROYAL PLAZA, ROYAL AVENUE, GY1 2HL, ST PETER PORT, GG;St Peter Port, GG;MATCH;2018-01-18;;MATCH;Limited;Limited;MATCH;active;;MATCH
p033;0.85;probable;https://search.gleif.org/#/record/213800L1N2V3FVNOSY44;63061;63061;MATCH;;;OK_EMPTY;TUFTON ASSETS LIMITED;Tufton Assets Limited;MATCH;GG;GG;MATCH;;;OK_EMPTY;1 ROYAL PLAZA, ROYAL AVENUE, GY1 2HL, ST PETER PORT, GG;;MATCH;2017-02-06;;MATCH;Limited;Limited;MATCH;active;;MATCH
p034;0.85;probable;https://search.gleif.org/#/record/635400JZ1EBUUKXQWB34;313041;313041;MATCH;;;OK_EMPTY;Eurolink Motorway Operation Limited;Eurolink Motorway Operation Ltd;MISMATCH;IE;IE;MATCH;;;OK_EMPTY;10 Earlsfort Terrace, D02 T380, Dublin, IE-D, IE;10 Earlsfort Terrace, D02 T380, Dublin 2, IE;MATCH;1999-09-28;;MATCH;Limited;Ltd;MATCH;active;;MATCH
p035;0.85;probable;https://search.gleif.org/#/record/81560017F5A0552CCF42;02805280241;2805280241;MATCH;;COMPANY REGISTER OF THE CHAMBER OF COMMERCE;MISSING;UNICONFORT S.R.L.;Uniconfort Srl;MISMATCH;IT;IT;MATCH;;;OK_EMPTY;VIA DELL'INDUSTRIA, 21, 35018, SAN MARTINO DI LUPARI, IT-PD, IT;VIA DELL'INDUSTRIA,21, 35018, S.MARTINO DI LUPARI (PD), IT;MATCH;2002-10-21;2000-01-02;MISMATCH;S.R.L.;Limited Liability Company;MISMATCH;active;active;MATCH
p036;0.85;probable;https://search.gleif.org/#/record/2138002OOOGYULOF8159;80466;80466;MATCH;;;OK_EMPTY;DOMINION FIDUCIARY SERVICES LIMITED;DOMINION FIDUCIARY SERVICES LIMITED;MATCH;JE;JE;MATCH;;;OK_EMPTY;3RD FLOOR, CHARTER PLACE, 23-27 SEATON PLACE, JE4 0WH, ST HELIER, JE;St. Helier, JE;MATCH;2001-07-16;;MATCH;SQXV;Limited;MISMATCH;active;;MATCH
p037;0.15;ambiguous;;;123445;MISSING;;;OK_EMPTY;;MATEL LTD;MISSING;;JE;MISSING;ambiguous_candidates;;MATCH;;St. Helier, JE;MISSING;;;OK_EMPTY;;Private Company Limited by Shares;MISSING;;;OK_EMPTY
p038;0.15;ambiguous;;;10258975;MISSING;;;OK_EMPTY;;MATEL LTD;MISSING;;JE;MISSING;ambiguous_candidates;;MATCH;;St. Helier, JE;MISSING;;;OK_EMPTY;;Private Company Limited by Shares;MISSING;;;OK_EMPTY
p039;0.0;not_found;;;B205241;MISSING;;;OK_EMPTY;;DBG Fund VII GP S.à r.l.;MISSING;;LU;MISSING;not_in_registry;;MATCH;;;OK_EMPTY;;;OK_EMPTY;;Sarl;MISSING;;;OK_EMPTY
p040;0.05;ambiguous;;;1000743250;MISSING;;;OK_EMPTY;;Peak Energy Capital I LP;MISSING;;LU;MISSING;ambiguous_candidates;;MATCH;;;OK_EMPTY;;;OK_EMPTY;;Limited Partnership;MISSING;;;OK_EMPTY
p041;0.0;not_found;;;C 102935;MISSING;;Malta;MISSING;;Splendid Sea Ltd.;MISSING;;MT;MISSING;not_in_registry;;MATCH;;Valletta, MT;MISSING;;;OK_EMPTY;;Ltd;MISSING;;;OK_EMPTY
p042;0.85;probable;https://search.gleif.org/#/record/724500DTN2L0XF7YW467;73312207;73312207;MATCH;;;OK_EMPTY;Dutch Home Label B.V.;Dutch Home Label B.V.;MATCH;NL;NL;MATCH;;;OK_EMPTY;Keyserswey 30, 2201CW, Noordwijk, NL;s-Gravendijckseweg 8, 2201CZ, Noordwijk, NL;MISMATCH;2018-07-04;2018-12-10;MATCH;B.V.;Besloten vennootschap;MATCH;active;active;MATCH
p043;0.0;not_found;;;82543364;MISSING;;;OK_EMPTY;;Hoyz B.V.;MISSING;;NL;MISSING;not_in_registry;;MATCH;;Oostpolderweg 2, 2841 DA, Moordrecht, Zuid Holland, NL;MISSING;;2026-04-15;MISSING;;Besloten vennootschap;MISSING;;active;MISSING
p044;0.0;not_found;;;73611662;MISSING;;;OK_EMPTY;;Maxecom B.V.;MISSING;;NL;MISSING;ungrounded_registry_id;;MATCH;;Adriaan Mulderweg 9, 5657 EM, Eindhoven, NL;MISSING;;2019-01-07;MISSING;;Besloten vennootschap;MISSING;;active;MISSING
p045;0.0;not_found;;;67020453;MISSING;;;OK_EMPTY;;More Footballs B.V.;MISSING;;NL;MISSING;not_in_registry;;MATCH;;Maagdenburgstraat 36, 7421ZD, Deventer, NL;MISSING;;2016-04-01;MISSING;;Besloten vennootschap;MISSING;;active;MISSING
p046;0.85;probable;https://search.gleif.org/#/record/894500VZ91448X6AA250;50083899;50083899;MATCH;;;OK_EMPTY;Sporttrader B.V.;Sporttrader B.V.;MATCH;NL;NL;MATCH;;;OK_EMPTY;Jan Tinbergenstraat 131, 7559 SP, Hengelo, NL;Jan Tinbergenstraat 131, 7559 SP, Hengelo, Overijssel, NL;MATCH;2010-06-02;2010-05-27;MATCH;B.V.;Besloten vennootschap;MATCH;active;active;MATCH
p047;0.0;not_found;;;333798;MISSING;;SĄD REJONOWY DLA M.ST. WARSZAWY W WARSZAWIE;MISSING;;MARO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;MISSING;;PL;MISSING;not_in_registry;;MATCH;;ul. PIĘKNA, nr 24, lok. 26A, 00-549, WARSZAWA, MAZOWIECKIE, PL;MISSING;;2009-04-09;MISSING;;Spółka z ograniczoną odpowiedzialnością;MISSING;;active;MISSING
p048;0.0;not_found;;;503883;MISSING;;Gdańsk;MISSING;:;SOLSQUARE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;MISMATCH;PL;PL;MATCH;non_registry_identifier;;MATCH;;Lipowa 67B, 84-230, Rumia, PL;MISSING;;2014-03-28;MISSING;Spółka z ograniczoną odpowiedzialnością;Spółka z ograniczoną odpowiedzialnością;MATCH;;active;MISSING
p049;0.85;probable;https://search.gleif.org/#/record/529900KFLHK577ZAK667;2985400;2985400;MATCH;;New York Department of State;MISSING;NEUMANN GRUPPE USA, INC.;NEUMANN GRUPPE USA, INC.;MATCH;US-NY;US;MISMATCH;;;OK_EMPTY;10001, New York, US-NY, US;111 river street suite 1220, 7030, hoboken, US;MISMATCH;;2003-12-04;MISSING;Corporation;INC.;MATCH;active;active;MATCH
p050;0.05;ambiguous;;;1409879;MISSING;;British Virgin Islands;MISSING;;TIDEMAR INTERNATIONAL LTD;MISSING;;VG;MISSING;ambiguous_candidates;;MATCH;;Tortola, VG;MISSING;;;OK_EMPTY;;Limited;MISSING;;;OK_EMPTY

"FIELD SUMMARY (ok includes honest-extra; MISSING/MISMATCH count against)"
registry_id;14/50;28%
registry_court;0/32;0%
name_normalized_register_name;11/50;22%
jurisdiction_confirmed;17/50;34%
no_match_reason;33/33;100%
registered_address;11/48;23%
incorporation_date;11/38;29%
organization_type;14/50;28%
status;17/39;44%
confidence_flag distribution;"{""ambiguous"": 10, ""probable"": 15, ""not_found"": 23, ""verified"": 2}"
